title,author,image_link
1984,george orwell,0103.jpg
jettature,gautier,0104.jpg
cuore di cane,michail bulgakov,0106.jpg
l'idiota,fedor dostoevskij,0107.jpg
l'amore è un cane che viene dall'inferno,charles bukowski,0108.jpg
uomini e macchine intelligenti,jeremy bernstein,0109.jpg
cent'anni di solitudine,gabriel garcia marquez,0110.jpg
quarantanove racconti,ernest hemingway,0111.jpg
è facile vivere a lungo,seneca,0112.jpg
tonio kroger,thomas mann,0113.jpg
autostop con buddha,will ferguson,0114.jpg
venere in pelliccia,leopold von sacher-masoch,0115.jpg
omero iliade,alessandro baricco,0117.jpg
lo zen e l'arte della manutenzione della motocicletta,robert m pirsing,0118.jpg
il narcisismo,alexander lowen,0119.jpg
come creare una mente,ray kurzweil,0120.jpg
i racconti dell'isola sconosciuta,jose saramago,0121.jpg
il maestro e margherita,michail bulgakov,0122.jpg
origini della disuguaglianza,rousseau,0123.jpg
poesie di natale,iosif brodskij,0124.jpg
mentre buddha sorride,charles bukowski,0125.jpg
coltiva l'imperfezione,michel de montaigne,0126.jpg
babilonia,yasmina reza,0127.jpg
marcovaldo,italo calvino,0128.jpg
blues e poesie,l j hughes,0129.jpg
le cosmicomiche,italo calvino,0130.jpg
tokio,federico simonti,0131.jpg
godel escher bach,douglas r hofstadter,0132.jpg
