title,author,image_link
il caso malaussène,daniel pennac,0001.jpg
il messaggio nella bottiglia,jussi adler-olsen,0002.jpg
il caffè dei piccoli miracoli,nicolas barreau,0003.jpg
visto per shanghai,qiu xiaolong,0004.jpg
questa notte morirai,viveca sten,0005.jpg
il predicatore,camilla lackberg,0006.jpg
i cani di riga,henning mankell,0007.jpg
come una famiglia,gianpaolo simi,0008.jpg
il giardino di amelia,marcela serrano,0009.jpg
kitchen,banana yoshimoto,0010.jpg
la paranza dei bambini,roberto saviano,0011.jpg
diario di scuola,daniel pennac,0012.jpg
cecità,josé saramago,0013.jpg
l'amante,marguerite duras,0014.jpg
la natura esposta,erri de luca,0015.jpg
cuore di tenebra,joseph conrad,0016.jpg
margherita dolcevita,stefano benni,0017.jpg
la casa dei sette ponti,mauro corona,0018.jpg
il club delle lettere segrete,angeles donate,0019.jpg
studio sex,lize marklund,0020.jpg
boccamurata,simonetta agnello hornby,0021.jpg
la misteriosa morte della compagna guan,qiu xiaolong,0022.jpg
tempesta solare,asa larsson,0023.jpg
assassino senza volto,henning mankell,0024.jpg
nel nome di mio padre,viveca sten,0025.jpg
maimi blues,charles willeford,0026.jpg
donne che comprano fiori,vaness montfort,0027.jpg
stanotte guardiamo le stelle,alì ehsani,0028.jpg
berta isla,javier marìas,0029.jpg
l'esercizio del distacco,mary b. tolusso,0030.jpg
novecento,alessandro baricco,0031.jpg
la fine di scipione,santiago posteguillo,0032.jpg
l'anello mancante,antonio manzini,0033.jpg
spia contro spia,dusko popov,0034.jpg
così crudele è la fine,mirko zilahy,0035.jpg
la chiave di tutto,gino vignali,0036.jpg
paura della libertà,carlo levi,0037.jpg
le 10 parole latine che raccontano il nostro mondo,nicola gardini,0038.jpg
un altro proust,giacomo debenedetti,0039.jpg
coraggio!,gabriele romagnoli,0040.jpg
dalle macerie,alessandro leogrande,0041.jpg
confesso che ho vissuto,massimo fini,0042.jpg
otto giorni in niger,edorardo albinati,0043.jpg
non solo di cose d'amore,pietro di soldà,0044.jpg
i mutanti,sofia bignamini,0045.jpg
diventare se stessi,irvin d. yalom,0046.jpg
mi dicevano che ero troppo sensibile,federica bosco,0047.jpg
a tua insaputa,john bargh,0048.jpg
il catalogo delle donne valorose,serena dandini,0049.jpg
il metodo catalanotti,andrea camilleri,0050.jpg
quando si spense la notte,ottavia casagrande,0051.jpg
#ops,elisa maino,0052.jpg
non sfidarmi,lee child,0053.jpg
l'educazione,tara westover,0054.jpg
eleanor oliphant sta benissimo,gail honeyman,0055.jpg
la lettera d'amore,lucinda riley,0056.jpg
l'ospite,giorgio faletti,0057.jpg
io te e il mare,marzia sicignano,0058.jpg
due sirene in un bicchiere,federica brunini,0059.jpg
i figli di dio,glenn cooper,0060.jpg
desire,meghan march,0061.jpg
divorare il cielo,paolo giordano,0062.jpg
la felicità del cactus,sarah haywood,0063.jpg
le persiane verdi,georges simeon,0065.jpg
hippie,paulo coelho,0066.jpg
macerie prime,zerocalcare,0067.jpg
king,meghan march,0068.jpg
la scomparse di stephanie mailer,joel dicker,0069.jpg
queen,meghan march,0071.jpg
buchi nel deserto,louis sachar,0072.jpg
la fabbrica di cioccolato,roald dahl,0073.jpg
l'occhio del lupo,daniel pennac,0075.jpg
mamme coraggiose per figli ribelli,giada sundas,0080.jpg
al mattino stringi forte i desideri,natascha lusenti,0081.jpg
la nuvola olga e il gatto,nicoletta costa,0082.jpg
la coscienza di zeno,italo svevo,0084.jpg
ombre giapponesi,lafcadio hearn,0086.jpg
cime tempestose,emily bronte,0088.jpg
moby dick,herman melville,0089.jpg
robinson crusoe,daniel defoe,0090.jpg
il labirinto degli spiriti,carlos ruiz zafon,0093.jpg
il grande gatsby,francis scott fitzgerald,0094.jpg
il caso fitzgerald,john grisham,0096.jpg
chi sta male non lo dice,antonio dikele distefano,0097.jpg
origin,dan brown,0098.jpg
la ragazza del treno,paula hawkins,0099.jpg
cose che nessuno sa,alessandro d'avena,0100.jpg
la colonna di fuoco,ken follet,0101.jpg
l'uccello del malaugurio,camilla lackberg,0102.jpg
